Manufacturer;StockName;LabelWidth;LabelHeight;PaperWidth;PaperHeight;NumberOfRows;NumberOfColumns;HorizontalGap;VerticalGap;LeftMargin;TopMargin
Comtec;LD-R3TX9W;1.2500;1.1250;1.2520;1.1270;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R4AD5M;1.1250;0.7500;1.1270;0.7520;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R4AW5Y;2.0000;2.0000;2.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R4EQ5B;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5AE5J;2.0000;6.0000;2.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5AN5F;3.0000;1.1250;3.0020;1.1270;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5BA5B;2.7500;1.1870;2.7520;1.1890;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5BN5B;2.0000;1.1250;2.0020;1.1270;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5FD5W;2.5620;0.8700;2.5640;0.8720;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5HA5N;2.7500;1.1870;2.7520;1.1890;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5IK5B;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R5WE5A;2.5620;0.8700;2.5640;0.8720;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R6AD5W;2.9370;4.9370;2.9390;4.9390;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R6BD5F;2.9370;4.9370;2.9390;4.9390;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R6TF5S;1.5000;2.7500;1.5020;2.7520;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R7AM5R;2.0000;3.0000;2.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R7AO5B;2.0000;2.0000;2.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R7BK5B;2.0000;0.8120;2.0020;0.8140;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R7BL5B;2.0000;1.0000;2.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R7BZ5U;2.0000;1.0000;2.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R7MT5R;2.0000;0.8120;2.0020;0.8140;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R7MU5P;2.0000;1.0000;2.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R9AK5D;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-R9FD5B;2.0000;6.0000;2.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-T2HE5T;2.0000;1.2500;2.0020;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-T4HW5Q;2.0000;2.0000;2.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-T4TQ5B;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-T5HE5L;2.0000;6.0000;2.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Comtec;LD-T5TT5B;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
